repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
openrndr/openrndr,2020-04-28 00:00:00+00:00,ok,2018-02-20 16:17:54+00:00,True,True
koajs/koa,2021-08-18 00:00:00+00:00,ok,2013-07-20 18:53:45+00:00,True,True
viest/php-ext-xlswriter,2020-12-02 00:00:00+00:00,ok,2017-11-23 05:23:49+00:00,True,True
socketio/socket.io,2020-12-07 00:00:00+00:00,ok,2010-03-11 18:24:48+00:00,True,True
cweagans/composer-patches,2022-12-20 00:00:00+00:00,ok,2015-04-22 18:09:14+00:00,True,True
AntennaPod/AntennaPod,2019-12-12 00:00:00+00:00,ok,2012-07-31 10:25:08+00:00,True,True
crankyoldgit/IRremoteESP8266,2021-04-17 00:00:00+00:00,ok,2015-06-07 16:04:25+00:00,True,True
ffuf/ffuf,2020-10-03 00:00:00+00:00,ok,2018-11-08 09:25:49+00:00,True,True
cmusphinx/pocketsphinx,2022-06-08 00:00:00+00:00,ok,2014-04-07 10:28:32+00:00,True,True
keras-team/keras,2022-03-31 00:00:00+00:00,ok,2015-03-28 00:35:42+00:00,True,True
hanami/hanami,2021-01-15 00:00:00+00:00,ok,2013-08-09 15:24:44+00:00,True,True
immunant/c2rust,2020-07-07 00:00:00+00:00,ok,2018-04-20 00:05:50+00:00,True,True
ridgepole/ridgepole,2020-08-09 00:00:00+00:00,ok,2014-06-29 08:12:33+00:00,True,True
mono/CppSharp,2020-11-07 00:00:00+00:00,ok,2013-05-10 19:00:56+00:00,True,True
rmcrackan/Libation,2022-11-16 00:00:00+00:00,ok,2019-10-04 20:02:35+00:00,True,True
microsoft/monaco-editor,2019-11-18 00:00:00+00:00,ok,2016-06-07 16:56:31+00:00,True,True
sonos/tract,2019-09-15 00:00:00+00:00,ok,2017-08-07 09:31:26+00:00,True,True
btraceio/btrace,2019-10-25 00:00:00+00:00,ok,2014-08-28 18:58:24+00:00,True,True
maid/maid,2023-03-18 00:00:00+00:00,ok,2011-05-21 15:35:43+00:00,True,True
prettier/plugin-php,2020-01-02 00:00:00+00:00,ok,2017-12-24 02:56:22+00:00,True,True
MetaCubeX/mihomo,2023-06-10 00:00:00+00:00,ok,2021-05-20 11:06:33+00:00,True,True
qmk/qmk_firmware,2019-10-25 00:00:00+00:00,ok,2014-12-08 22:02:05+00:00,True,True
yarnpkg/yarn,2024-05-24 00:00:00+00:00,ok,2016-01-19 17:39:16+00:00,True,True
fatfreecrm/fat_free_crm,2021-02-26 00:00:00+00:00,ok,2008-11-25 03:09:44+00:00,True,True
google-deepmind/open_spiel,2021-02-10 00:00:00+00:00,ok,2019-07-22 13:50:21+00:00,True,True
dzikoysk/reposilite,2019-08-16 00:00:00+00:00,ok,2017-07-06 21:42:58+00:00,True,True
feathersjs/feathers,2020-02-09 00:00:00+00:00,ok,2011-10-19 22:45:16+00:00,True,True
doctrine/persistence,2020-05-12 00:00:00+00:00,ok,2018-06-06 16:04:51+00:00,True,True
kristijanhusak/laravel-form-builder,2020-02-13 00:00:00+00:00,ok,2014-10-15 22:10:20+00:00,True,True
sebastianbergmann/version,2023-01-27 00:00:00+00:00,ok,2013-01-05 14:17:33+00:00,True,True
cabaletta/baritone,2021-06-12 00:00:00+00:00,ok,2018-08-01 15:34:21+00:00,True,True
PaddlePaddle/PaddleOCR,2024-03-27 00:00:00+00:00,ok,2020-05-08 10:38:16+00:00,True,True
xtermjs/xterm.js,2022-08-31 00:00:00+00:00,ok,2014-03-24 16:04:04+00:00,True,True
akopytov/sysbench,2023-05-08 00:00:00+00:00,ok,2015-03-07 08:27:40+00:00,True,True
