treated_repo,control_repo,adoption_date,reference_month
trakt/showly,CodeSeven/toastr,2024-01-14 00:00:00+00:00,2024-01-01
bytedance/xgplayer,asmuth/recommendify,2023-01-07 00:00:00+00:00,2023-01-01
svg/svgo,gali8/Tesseract-OCR-iOS,2021-02-13 00:00:00+00:00,2021-02-01
NoiseByNorthwest/php-spx,attractivechaos/klib,2022-04-08 00:00:00+00:00,2022-04-01
thoughtbot/guides,spatie/dashboard.spatie.be,2024-03-14 00:00:00+00:00,2024-03-01
Z-Siqi/Clash-for-Windows_Chinese,microsoft/SPTAG,2024-05-30 00:00:00+00:00,2024-05-01
fornewid/neumorphism,NVIDIAGameWorks/PhysX,2022-02-15 00:00:00+00:00,2022-02-01
AngleSharp/AngleSharp,foreversd/forever,2021-04-21 00:00:00+00:00,2021-04-01
viest/php-ext-xlswriter,LagradOst/QuickNovel,2020-12-02 00:00:00+00:00,2020-12-01
KhronosGroup/Vulkan-Samples,Bodmer/TFT_eSPI,2020-11-05 00:00:00+00:00,2020-11-01
akopytov/sysbench,tonybeltramelli/pix2code,2023-05-08 00:00:00+00:00,2023-05-01
raineorshine/npm-check-updates,linq2db/linq2db,2020-05-15 00:00:00+00:00,2020-05-01
pypa/pipenv,symfony/finder,2020-04-10 00:00:00+00:00,2020-04-01
killme2008/aviatorscript,abcz316/SKRoot-linuxKernelRoot,2023-05-15 00:00:00+00:00,2023-05-01
cmusphinx/pocketsphinx,yanfeizhang/coder-kung-fu,2022-06-08 00:00:00+00:00,2022-06-01
mongodb/mongo-php-library,JosefNemec/Playnite,2021-01-20 00:00:00+00:00,2021-01-01
alibaba/nacos,xi-editor/xi-editor,2020-10-28 00:00:00+00:00,2020-10-01
dromara/dynamic-tp,SinaKarvandi/Hypervisor-From-Scratch,2023-01-15 00:00:00+00:00,2023-01-01
gulpjs/gulp,brendan-rius/c-jwt-cracker,2024-03-25 00:00:00+00:00,2024-03-01
orvice/ss-panel,dangrossman/daterangepicker,2022-06-22 00:00:00+00:00,2022-06-01
greenshot/greenshot,mdbootstrap/adminlte-laravel,2025-05-16 00:00:00+00:00,2025-05-01
btraceio/btrace,yuesong-feng/30dayMakeCppServer,2019-10-25 00:00:00+00:00,2019-10-01
leandroBorgesFerreira/LoadingButtonAndroid,brandonhilkert/fucking_shell_scripts,2023-05-19 00:00:00+00:00,2023-05-01
Azure-Samples/cognitive-services-speech-sdk,SlatherOrg/slather,2022-10-24 00:00:00+00:00,2022-10-01
berstend/puppeteer-extra,rememberber/WePush,2020-07-13 00:00:00+00:00,2020-07-01
ReactiveX/RxAndroid,kontena/kontena,2020-02-14 00:00:00+00:00,2020-02-01
ranaroussi/yfinance,shuchkin/simplexlsx,2021-03-03 00:00:00+00:00,2021-03-01
Seldaek/monolog,KDE/kdeconnect-kde,2020-12-09 00:00:00+00:00,2020-12-01
onnxsim/onnxsim,jlegewie/zotfile,2022-02-26 00:00:00+00:00,2022-02-01
changmingxie/tcc-transaction,vladikoff/chromeos-apk,2024-01-15 00:00:00+00:00,2024-01-01
khellang/Scrutor,lucasg/Dependencies,2022-05-23 00:00:00+00:00,2022-05-01
commitizen/cz-cli,alan-ai/alan-sdk-flutter,2022-07-17 00:00:00+00:00,2022-07-01
simplcommerce/SimplCommerce,microsurging/surging,2021-10-22 00:00:00+00:00,2021-10-01
sebastianbergmann/recursion-context,jeremeamia/super_closure,2020-01-21 00:00:00+00:00,2020-01-01
gothinkster/aspnetcore-realworld-example-app,Exrick/xboot,2020-04-11 00:00:00+00:00,2020-04-01
cjlin1/libsvm,Meituan-Dianping/Leaf,2022-08-08 00:00:00+00:00,2022-08-01
rwv/chinese-dos-games,SciRuby/daru,2021-06-21 00:00:00+00:00,2021-06-01
corcel/corcel,darjun/go-daily-lib,2021-09-16 00:00:00+00:00,2021-09-01
enzymejs/enzyme,peterq/pan-light,2021-03-26 00:00:00+00:00,2021-03-01
markdownlint/markdownlint,awesome-print/awesome_print,2020-08-08 00:00:00+00:00,2020-08-01
ullmark/hashids.net,Masterminds/glide,2021-04-21 00:00:00+00:00,2021-04-01
php-ds/ext-ds,Masterminds/squirrel,2021-01-21 00:00:00+00:00,2021-01-01
